Experiment Results:
Epoch 103: Train Loss = 0.2123, Val Acc = 0.7739
Epoch 104: Train Loss = 0.3520, Val Acc = 0.5913
Epoch 105: Train Loss = 0.2384, Val Acc = 0.7826
Epoch 106: Train Loss = 0.2328, Val Acc = 0.7565
Epoch 107: Train Loss = 0.2477, Val Acc = 0.7130
Epoch 108: Train Loss = 0.3613, Val Acc = 0.6000
Epoch 109: Train Loss = 0.4264, Val Acc = 0.5565
Epoch 110: Train Loss = 0.2886, Val Acc = 0.6000
Epoch 111: Train Loss = 0.2458, Val Acc = 0.6609
Epoch 112: Train Loss = 0.2179, Val Acc = 0.7652
Epoch 113: Train Loss = 0.2309, Val Acc = 0.7565
Epoch 114: Train Loss = 0.2309, Val Acc = 0.7565
Epoch 115: Train Loss = 0.2328, Val Acc = 0.6957
Epoch 116: Train Loss = 0.2346, Val Acc = 0.7304
Epoch 117: Train Loss = 0.2291, Val Acc = 0.7652
Epoch 118: Train Loss = 0.2644, Val Acc = 0.7739
Epoch 119: Train Loss = 0.2384, Val Acc = 0.7304
Epoch 120: Train Loss = 0.3296, Val Acc = 0.6087
Epoch 121: Train Loss = 0.3166, Val Acc = 0.6174
Epoch 122: Train Loss = 0.3426, Val Acc = 0.6000
Epoch 123: Train Loss = 0.3352, Val Acc = 0.6261
Epoch 124: Train Loss = 0.3408, Val Acc = 0.6087
Epoch 125: Train Loss = 0.3873, Val Acc = 0.5913
Epoch 126: Train Loss = 0.2551, Val Acc = 0.6348
Epoch 127: Train Loss = 0.2235, Val Acc = 0.7478
Epoch 128: Train Loss = 0.2253, Val Acc = 0.7391
Epoch 129: Train Loss = 0.2588, Val Acc = 0.6435
Epoch 130: Train Loss = 0.2402, Val Acc = 0.7043
Epoch 131: Train Loss = 0.4078, Val Acc = 0.5739
Epoch 132: Train Loss = 0.2197, Val Acc = 0.7478
Epoch 133: Train Loss = 0.3333, Val Acc = 0.6087
Epoch 134: Train Loss = 0.2849, Val Acc = 0.6261
Epoch 135: Train Loss = 0.2365, Val Acc = 0.7739
Epoch 136: Train Loss = 0.2272, Val Acc = 0.7652
Epoch 137: Train Loss = 0.2477, Val Acc = 0.7826
Epoch 138: Train Loss = 0.2458, Val Acc = 0.6609
Epoch 139: Train Loss = 0.2272, Val Acc = 0.7391
Epoch 140: Train Loss = 0.2346, Val Acc = 0.6783
Epoch 141: Train Loss = 0.2328, Val Acc = 0.7217
Epoch 142: Train Loss = 0.4115, Val Acc = 0.5739
Epoch 143: Train Loss = 0.2346, Val Acc = 0.7652
Epoch 144: Train Loss = 0.3520, Val Acc = 0.6087
Epoch 145: Train Loss = 0.2328, Val Acc = 0.7652
Epoch 146: Train Loss = 0.2272, Val Acc = 0.7043
Epoch 147: Train Loss = 0.3575, Val Acc = 0.5739
Epoch 148: Train Loss = 0.2439, Val Acc = 0.7043
Epoch 149: Train Loss = 0.2235, Val Acc = 0.7565
Epoch 150: Train Loss = 0.2160, Val Acc = 0.7565
Epoch 151: Train Loss = 0.2663, Val Acc = 0.8000
Epoch 152: Train Loss = 0.4562, Val Acc = 0.5130
Epoch 153: Train Loss = 0.2253, Val Acc = 0.7478
Epoch 154: Train Loss = 0.2756, Val Acc = 0.6348
Epoch 155: Train Loss = 0.3277, Val Acc = 0.6261
Epoch 156: Train Loss = 0.2514, Val Acc = 0.6348
Epoch 157: Train Loss = 0.2272, Val Acc = 0.7739
Epoch 158: Train Loss = 0.2365, Val Acc = 0.7304
